Name,ISIN,Ticker,Market Index,Earliest Data,Latest Data
iShares AEX UCITS ETF,IE00B0M62Y33,IAEX,AEX,November 1999,November 2024
iShares AEX UCITS ETF EUR (Acc),IE00BMTX2B82,IAEA,AEX,November 1999,November 2024
VanEck AEX UCITS ETF,NL0009272749,TDT,AEX,November 1999,November 2024
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL,BEL 20,March 1994,November 2024
Bitcoin,BTC,BTC,Bitcoin,August 2011,November 2024
21Shares Bitcoin ETP,CH0454664001,21XB; ABTC,Bitcoin,August 2011,November 2024
BTCetc - ETC Group Physical Bitcoin,DE000A27Z304,BTCE,Bitcoin,August 2011,November 2024
VanEck Vectors Bitcoin ETN,DE000A28M8D0,VBTC,Bitcoin,August 2011,November 2024
Iconic Funds Physical Bitcoin ETP,DE000A3GK2N1,XBTI,Bitcoin,August 2011,November 2024
WisdomTree Bitcoin,GB00BJYDH287,BTCW; WBIT; WBTC,Bitcoin,August 2011,November 2024
CoinShares Physical Bitcoin,GB00BLD4ZL17,BITC,Bitcoin,August 2011,November 2024
Vanguard SRI Euro Investment Grade Bond Index Fund,IE00BYSX5D68,,Bloomberg Barclays EUR Non-Government Float Adjusted Bond,June 2008,June 2023
iShares Euro Corporate Bond 1-5yr UCITS ETF,IE00B4L60045,EUNT; IE15; SE15,Bloomberg Barclays Euro Corporate Bond 1-5Y,September 2009,November 2024
iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist),IE00B1FZS806,IBCM; IBGM; IEGM,Bloomberg Barclays Euro Government Bond 10 Year Term,December 2006,November 2024
iShares Euro Government Bond 7-10yr UCITS ETF (Acc),IE00B3VTN290,CBE0; CE01; CSBGE0; SXRQ,Bloomberg Barclays Euro Government Bond 10 Year Term,December 2006,November 2024
iShares Euro Government Bond 15-30yr UCITS ETF,IE00B1FZS913,IBCL; IBGL; IEGL,Bloomberg Barclays Euro Government Bond 15-30 Year Term,December 2006,November 2024
iShares Euro Government Bond 3-5yr UCITS ETF,IE00B1FZS681,IBCN; IBGX; IEGX,Bloomberg Barclays Euro Government Bond 5 Year Term,December 2006,November 2024
iShares Euro Inflation Linked Government Bond UCITS ETF,IE00B0M62X26,IBC1; IBCI,Bloomberg Barclays Euro Government Inflation-Linked Bond,November 2005,November 2024
iShares Euro Government Inflation-Linked Bond Index Fund (IE),IE00B4WXT857,,Bloomberg Barclays Euro Government Inflation-Linked Bond,November 2005,November 2024
Xtrackers Eurozone Inflation-Linked Bond UCITS ETF 1C,LU0290358224,DBXK; XEIN,Bloomberg Barclays Euro Government Inflation-Linked Bond,November 2005,November 2024
Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,LU1650491282,EMI; LYQ7; MTI; MTIX,Bloomberg Barclays Euro Government Inflation-Linked Bond,November 2005,November 2024
Amundi Euro Government Bond 15+Y UCITS ETF Acc,LU1287023268,EM15; LYXF; MTF,Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond,October 2012,November 2024
Amundi Euro Government Bond 15+Y UCITS ETF Dist,LU2090062782,E15G,Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond,October 2012,November 2024
Amundi Euro Government Bond 25+Y UCITS ETF Acc,LU1686832194,LMTH; MTH,Bloomberg Barclays Euro Treasury 50bn 25+ Year Bond,March 2015,November 2024
Amundi Euro Government Bond 5-7Y UCITS ETF Acc,LU1287023003,EM57; LYXC; MTC,Bloomberg Barclays Euro Treasury 50bn 5-7 Year Bond,October 2012,November 2024
Amundi Euro Government Bond 7-10Y UCITS ETF Acc,LU1287023185,EM710; LYXD; MTD,Bloomberg Barclays Euro Treasury 50bn 7-10 Year Bond,October 2012,November 2024
Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,IE00BDD48R20,VDUC; VUSC,Bloomberg Barclays Global Aggregate Corporate 1-3Y,December 2012,December 2023
iShares Fallen Angels High Yield Corporate Bond UCITS ETF USD (Acc),IE00BDFJYP58,WIAU,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped,June 2016,November 2024
iShares Fallen Angels High Yield Corporate Bond UCITS ETF,IE00BYM31M36,QDVQ; RISE; WING,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped,June 2016,November 2024
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free 1-3Y UCITS ETF,LU2008760592,ASR3; SRIC3,Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y,October 2019,November 2024
BNP Paribas Easy € Corp Bond SRI Fossil Free 1-3Y,LU2008760758,,Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y,October 2019,November 2024
iShares Euro Corporate Bond ESG UCITS ETF (Dist),IE00BYZTVT56,OM3F; SUOE,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI,February 2017,November 2024
